tox_cas_edf_id,tox_chemical_name,tox_recognized,tox_suspected
14276-65-4,GD-153,cancer,
14280-35-4,EU-156,cancer,
143-10-2,1-Decanethiol,,respiratory
143-33-9,SODIUM CYANIDE,,"gastrointestinal liver,neurotoxicity,reproductive,respiratory"
143-50-0,CHLORDECONE (KEPONE),"cancer,developmental","cardiovascular blood,endocrine,gastrointestinal liver,kidney,neurotoxicity,reproductive"
143-67-9,VINBLASTINE SULFATE,developmental,
143-81-7,BUTABARBITAL SODIUM,developmental,"cardiovascular blood,neurotoxicity,respiratory"
14307-35-8,LITHIUM CHROMATE,cancer,respiratory
14331-79-4,BISMUTH-210,cancer,
14331-83-0,AC-228,cancer,
14331-85-2,PA-231,cancer,
14331-88-5,SB-129,cancer,
14331-91-0,SR-91,cancer,
14331-95-4,RU-105,cancer,
14331-97-6,V-48,cancer,
14333-33-6,C-11,cancer,
14333-45-0,TM-171,cancer,
14336-68-6,CD-115,cancer,
14336-68-6(m),CD-115M,cancer,
14336-70-0,NI-59,cancer,
143390-89-0,Kresoxim-methyl,,cancer
14374-79-9,SB-122,cancer,
14374-81-3,GE-71,cancer,
14378-21-3,K-42,cancer,
14378-25-7,BA-139,cancer,
14378-38-2(m),AG-109M,cancer,
14380-75-7,PROMETHIUM-147,cancer,
1439-99-2,CA-47,cancer,
14390-73-9(m),TE-125M,cancer,
14391-16-3,EU-155,cancer,
14391-45-8,ER-171,cancer,
14391-63-0,RB-82,cancer,
14391-65-2,AG-108,cancer,
14391-65-2(m),AG-108M,cancer,
14391-65-2(m)(+D),AG-108M+D,cancer,
14391-76-5,AG-110,cancer,
14391-76-5(m),AG-110M,cancer,
14391-86-7,SC-48,cancer,
14391-96-9,SC-47,cancer,
14392-02-0,CR-51,cancer,
14392-33-7,SM-147,cancer,
144-55-8,SODIUM BICARBONATE,,"gastrointestinal liver,kidney,respiratory"
144-62-7,OXALIC ACID,,"gastrointestinal liver,neurotoxicity,reproductive,skin sense"
144-80-9,SULFACETAMIDE,,neurotoxicity
1445-75-6,DIISOPROPYL METHANEPHOSPHONATE,,cardiovascular blood
14464-46-1,CRISTOBALITE,,"cancer,respiratory"
14484-64-1,FERBAM,,"developmental,endocrine,immunotoxicity,neurotoxicity,skin sense"
14486-19-2,CADMIUM FLUOBORATE,cancer,
145-73-3,ENDOTHALL,,"cardiovascular blood,kidney"
1455-21-6,1-Nonanethiol,,respiratory
14596-10-2,AM-241,cancer,
14596-12-4,FE-59,cancer,
14596-37-3,P-32,cancer,
1461-23-0,"Stannane, bromotributyl-",,neurotoxicity
1464-53-5,"1,1'-BI(ETHYLENE OXIDE)",cancer,"immunotoxicity,respiratory,skin sense"
14681-52-8,MN-56,cancer,
14681-59-5,FE-55,cancer,
14681-63-1,NB-94,cancer,
14683-06-8,SN-121,cancer,
14683-06-8(m),SN-121M,cancer,
14683-08-0,SN-125,cancer,
14683-10-4,SB-124,cancer,
14683-11-5(m),XE-131M,cancer,
14683-12-6,TE-131,cancer,
14683-12-6(m),TE-131M,cancer,
14683-16-0,I-132,cancer,
14683-19-3,PROMETHIUM-148,cancer,
14683-19-3(m),PROMETHIUM-148M,cancer,
14683-23-9,EU-152,cancer,
14686-69-2,BR-82,cancer,
14687-25-3,PB-203,cancer,
14694-69-0,IR-192,cancer,
147-47-7,"1,2-DIHYDRO-2,2,4-TRIMETHYLQUINOLINE",,neurotoxicity
147-94-4,CYTARABINE,developmental,
14733-03-0,BISMUTH-214,cancer,
147601-87-4,Aroclor 1210,"cancer,developmental",
14762-75-5,CARBON-14,cancer,
14762-78-8,CE-144,cancer,
14762-78-8(+D),CE-144+D,cancer,
1477-55-0,"M-XYLENE a,a1-DIAMINE",,"immunotoxicity,skin sense"
14797-55-8,NITRATE,,"cardiovascular blood,kidney,reproductive"
14797-65-0,NITRITE,,"cardiovascular blood,kidney,reproductive"
14798-08-4,BA-140,cancer,
148-01-6,"3,5-DINITRO-O-TOLUAMIDE",,cardiovascular blood
148-18-5,"CARBAMIC ACID, DIETHYLDITHIO-, SODIUM SALT",,cancer
148-79-8,THIABENDAZOLE,,"cancer,developmental,immunotoxicity,neurotoxicity,skin sense"
148-82-3,MELPHALAN,"cancer,developmental","cardiovascular blood,gastrointestinal liver"
14807-96-6,TALC,,"cancer,respiratory"
14808-44-7,TC-96,cancer,
14808-44-7(m),TC-96M,cancer,
14808-60-7,QUARTZ,,"cancer,endocrine,gastrointestinal liver,immunotoxicity,respiratory"
14809-50-8,SR-82,cancer,
14809-56-4,TC-95,cancer,
14809-56-4(m),TC-95M,cancer,
14809-68-8,KR-87,cancer,
14833-49-9,NI-65,cancer,
14834-67-4,I-133,cancer,
14834-68-5,I-135,cancer,
14835-02-0,RN-219,cancer,
14835-21-3,XE-137,cancer,
14859-67-7,RADON 222,,cancer
14859-67-7(+D),RN-222+D,cancer,
14885-78-0(m),IN-113M,cancer,
149-30-4,2-MERCAPTOBENZOTHIAZOLE,,"cancer,cardiovascular blood,gastrointestinal liver,immunotoxicity,neurotoxicity,skin sense"
149-74-6,DICHLOROMETHYLPHENYLSILANE,,"cardiovascular blood,gastrointestinal liver,respiratory"
14901-08-7,CYCASIN,cancer,"gastrointestinal liver,kidney"
14913-49-6,BI-212,cancer,
14913-50-9,TL-208,cancer,
14913-89-4,RH-105,cancer,
14913-89-4(m),RH-105M,cancer,
14914-02-4,I-130,cancer,
14914-16-0,AU-196,cancer,
14914-27-3,I-134,cancer,
14914-75-1,BA-131,cancer,
14914-76-2,CS-131,cancer,
14928-14-4,AG-105,cancer,
14928-29-1,SR-92,cancer,
14928-30-4,ZR-97,cancer,
14928-36-0,RB-88,cancer,
14932-40-2,TH-231,cancer,
14932-41-3,W-185,cancer,
14932-42-4,XE-133,cancer,
14932-42-4(m),XE-133M,cancer,
14932-53-7,RB-86,cancer,
14952-40-0,AC-227,cancer,
14952-40-0(+D),AC-227+D,cancer,
14967-68-1,PD-103,cancer,
14977-61-8,CHROMYL CHLORIDE,cancer,"immunotoxicity,kidney,respiratory,skin sense"
14981-64-7,PD-109,cancer,
14981-70-5,Y-93,cancer,
14981-79-4,PR-143,cancer,
14981-91-0,IR-190,cancer,
14983-48-3,W-187,cancer,
14993-75-0,AM-243,cancer,
14993-75-0(+D),AM-243(+D),cancer,
14995-61-0,KR-88,cancer,
14995-62-1,XE-135,cancer,
14995-62-1(m),XE-135M,cancer,
150-19-6,3-METHYOXYPHENOL,,neurotoxicity
150-50-5,MERPHOS,,neurotoxicity
150-68-5,MONURON,,"cardiovascular blood,gastrointestinal liver,respiratory"
150-76-5,4-METHOXYPHENOL,,"neurotoxicity,skin sense"
15046-84-1,I-129,cancer,
15065-10-8,TH-234,cancer,
15067-28-4,"LEAD, ISOTOPE OF MASS 214",cancer,
15092-94-1,PB-212,cancer,
151-18-8,BAPN,,"cardiovascular blood,developmental"
151-21-3,SODIUM LAURYL SULFATE,,gastrointestinal liver
151-38-2,METHOXYETHYLMERCURIC ACETATE,developmental,
151-50-8,POTASSIUM CYANIDE,,"cardiovascular blood,neurotoxicity,respiratory"
151-56-4,ETHYLENEIMINE,cancer,"cardiovascular blood,gastrointestinal liver,immunotoxicity,kidney,neurotoxicity,reproductive,respiratory,skin sense"
151-67-7,HALOTHANE,developmental,"gastrointestinal liver,kidney,neurotoxicity,reproductive"
15100-28-4,PA-234,cancer,
15100-28-4(m),PA-234M,cancer,
15117-48-3,PLUTONIUM 239,cancer,
15117-53-0,SULFUR-35,cancer,
15117-96-1,URANIUM-235,cancer,
15117-96-1(+D),U-235+D,cancer,
15151-09-4,XE-122,cancer,
151820-27-8,Aroclor 1216,"cancer,developmental",
15194-98-6,CALCIUM ARSENITE (2:1),,"gastrointestinal liver,neurotoxicity"
15229-37-5,BI-211,cancer,
15262-20-1,RADIUM-228,cancer,
15262-20-1(+D),RA-228+D,cancer,
153-78-6,2-Aminofluorene,cancer,"gastrointestinal liver,kidney"
153719-23-4,Thiamethoxam,,cancer
15389-34-1,PO-212,cancer,
154-42-7,THIOGUANINE,developmental,"cardiovascular blood,gastrointestinal liver"
154-93-8,BISCHLOROETHYL NITROSOUREA (BCNU),"cancer,developmental",kidney
15411-92-4,PU-236,cancer,
15422-24-9,PO-218,cancer,
15468-32-3,TRIDYMITE,,"cancer,respiratory"
15475-56-6,METHOTREXATE SODIUM,developmental,
15489-16-4,STIBOPHEN,,cardiovascular blood
15510-73-3,CM-242,cancer,
15541-45-4,BROMATE,cancer,kidney
1558-25-4,TRICHLORO(CHLOROMETHYL)SILANE,,"cardiovascular blood,neurotoxicity,respiratory"
15585-10-1,EU-154,cancer,
1559-35-9,ethylene glycol 2-ethylhexyl ether,,neurotoxicity
15594-54-4,TH-229,cancer,
15594-54-4(+D),TH-229+D,cancer,
156-10-5,P-NITROSODIPHENYLAMINE,cancer,gastrointestinal liver
156-43-4,1-AMINO-4-ETHOXYBENZENE,,cardiovascular blood
156-51-4,PHENELZINE SULPHATE,,"cancer,cardiovascular blood,gastrointestinal liver,neurotoxicity"
156-59-2,"CIS-1,2-DICHLOROETHYLENE",,"cardiovascular blood,neurotoxicity"
156-60-5,"1,2-TRANS-DICHLOROETHYLENE",,"cardiovascular blood,gastrointestinal liver,neurotoxicity,respiratory"
156-62-7,CALCIUM CYANAMIDE,,"cardiovascular blood,gastrointestinal liver,immunotoxicity,respiratory,skin sense"
15621-76-8,CM-245,cancer,
15623-45-7,RA-223,cancer,
15623-47-9,"THORIUM, ISOTOPE OF MASS 227",cancer,
15625-89-5,"1,3-PROPANEDIOL, 2-ETHYL-2-(HYDROXYMETHYL)-, TRIACRYLATE",,"immunotoxicity,skin sense"
1563-66-2,CARBOFURAN,,"gastrointestinal liver,immunotoxicity,neurotoxicity,reproductive,skin sense"
15630-89-4,sodium percarbonate,,"neurotoxicity,respiratory"
15646-96-5,"2,4,4-TRIMETHYLHEXAMETHYLENE DIISOCYANATE",,"immunotoxicity,respiratory"
15647-08-2,"Phosphorous acid, 2-ethylhexyl diphenyl ester",,neurotoxicity
15662-33-6,RYANODINE,,"neurotoxicity,respiratory"
15663-27-1,CISPLATIN,cancer,"gastrointestinal liver,kidney"
15687-53-3,U-240,cancer,
1569-69-3,CICLOHEXILMERCAPTANO,,respiratory
15690-69-4,PD-100,cancer,
15690-73-0,TL-209,cancer,
15690-84-3,NP-240,cancer,
15690-84-3(m),NP-240M,cancer,
15699-18-0,NICKEL AMMONIUM SULFATE,cancer,
15700-10-4,XE-123,cancer,
15700-36-4,NP-236,cancer,
15700-36-4(a),NP-236A,cancer,
15700-36-4(b),NP-236B,cancer,
15706-36-2,PT-191,cancer,
15706-37-3,PU-243,cancer,
15706-52-2,PO-215,cancer,
15715-08-9,I-123,cancer,
15715-94-3,SM-151,cancer,
15720-57-7,TL-202,cancer,
15726-30-4,CS-135,cancer,
15735-67-8,POLONIUM 214,cancer,
15735-70-3,PT-193,cancer,
15735-70-3(m),PT-193M,cancer,
15735-74-7,PT-197,cancer,
15735-74-7(m),PT-197M,cancer,
15741-13-6,KR-90,cancer,
15749-46-9,W-181,cancer,
15749-54-9,PD-101,cancer,
15749-66-3,P-33,cancer,
15749-81-2,ND-149,cancer,
15751-59-4,Y-92,cancer,
15751-77-6,ZR-93,cancer,
15751-81-2,XE-138,cancer,
15756-32-8,SB-126,cancer,
15756-32-8(m),SB-126M,cancer,
15756-41-9,FR-221,cancer,
15756-57-7,PO-213,cancer,
15756-58-8,PO-216,cancer,
15756-98-6,FR-223,cancer,
15757-87-6,CM-243,cancer,
15757-87-6(+D),CM-243+D,cancer,
15757-90-1,CM-246,cancer,
15758-29-9,CS-138,cancer,
15758-32-4,CM-247,cancer,
15758-33-5,CM-248,cancer,
15758-35-7,RU-97,cancer,
15759-35-0,TC-97,cancer,
15759-35-0(m),TC-97M,cancer,
15759-55-4,TB-158,cancer,
15760-04-0,AG-111,cancer,
15765-31-8,PROMETHIUM-149,cancer,
15766-00-4,SM-153,cancer,
15766-25-3,NP-238,cancer,
15766-50-4,OS-185,cancer,
15776-19-9,BI-206,cancer,
15776-20-2,BI-213,cancer,
15816-77-0,PB-211,cancer,
1582-09-8,TRIFLURALIN,,"cancer,cardiovascular blood,developmental,endocrine,gastrointestinal liver,immunotoxicity,reproductive,skin sense"
15832-50-5,SN-126,cancer,
15840-01-4,DY-166,cancer,
15840-13-8,ER-169,cancer,
15862-07-4,"2,4,5-TRICHLOROBIPHENYL (PCB-29)","cancer,developmental",
15929-23-4,C-15,cancer,
15930-94-6,Zinc chromate hydroxide,,"cancer,immunotoxicity,kidney,respiratory,skin sense"
1596-84-5,DAMINOZIDE,cancer,
15968-05-5,"2,2',6,6'-TETRACHLOROBIPHENYL (PCB-54)","cancer,developmental",
15972-60-8,ALACHLOR,cancer,"cardiovascular blood,developmental,endocrine,immunotoxicity,kidney,skin sense"
1600-27-7,MERCURIC ACETATE,developmental,
16057-77-5,OS-193,cancer,
16065-83-1,CHROMIUM (III) COMPOUNDS,,respiratory
16071-86-6,C.I. DIRECT BROWN 95,cancer,
16102-92-4,AMMONIUM COPPER ARSENATE,"cancer,developmental",
1615-80-1,"1,2-DIETHYLHYDRAZINE",cancer,
1620-21-9,CHLORCYCLIZINE HYDROCHLORIDE,developmental,
16219-75-3,ETHYLIDENE NORBORNENE,,"neurotoxicity,skin sense"
1622-32-8,"ETHANESULFONYL CHLORIDE, 2-CHLORO-",,cardiovascular blood
16316-03-3,KR-89,cancer,
16338-97-9,DIALLYLNITROSAMINE,,cancer
16338-99-1,N-nitrosomethyl-N-heptylamine,,"cancer,gastrointestinal liver,respiratory"
1634-04-4,METHYL TERT-BUTYL ETHER,,"cancer,gastrointestinal liver,kidney,neurotoxicity,respiratory,skin sense"
1639-09-4,1-Heptanethiol,,respiratory
1649-18-9,Azaperone,,"immunotoxicity,neurotoxicity,skin sense"
165245-51-2,Aroclor 1250,"cancer,developmental",
16543-55-8,N-NITROSONORNICOTINE,cancer,"gastrointestinal liver,respiratory,skin sense"
16561-29-8,PHORBOL MYRISTATE ACETATE,,"gastrointestinal liver,respiratory,skin sense"
16568-02-8,GYROMITRIN (ACETALDEHYDE METHYLFORMYLHYDRAZONE),cancer,
16605-91-7,"2,3-DICHLOROBIPHENYL (PCB-5)","cancer,developmental",
16606-02-3,"2,4',5-Trichlorobiphenyl","cancer,developmental",
1663-39-4,"2-Propenoic acid, 1,1-dimethylethyl ester",,"immunotoxicity,skin sense"
16672-87-0,ETHEPHON,,"neurotoxicity,respiratory"
16680-47-0,SODIUM EQUILIN SULFATE,,cancer
16721-80-5,SODIUM HYDROSULFIDE,,skin sense
1675-54-3,"2,2'-((1-METHYLETHYLIDENE)BIS(4,1-PHENYLENEOXYMETHYLENE))BISOXIRA- N",,"gastrointestinal liver,immunotoxicity,neurotoxicity,skin sense"
16752-77-5,METHOMYL,,"cardiovascular blood,endocrine,immunotoxicity,neurotoxicity,respiratory,skin sense"
1680-21-3,TRIETHYLENE GLYCOL DIACRYLATE,,"immunotoxicity,skin sense"
16842-03-8,"COBALT HYDROCARBONYL, AS CO",,"cancer,neurotoxicity,respiratory"
16862-07-4,"2,4',5-TRICHLOROBIPHENYL (PCB-31)","cancer,developmental",
1689-83-4,IOXYNIL,,"cardiovascular blood,endocrine,gastrointestinal liver,neurotoxicity,respiratory"
1689-84-5,BROMOXYNIL,developmental,cancer
1689-99-2,BROMOXYNIL OCTANOATE,developmental,
16938-22-0,"2,2,4-TRIMETHYLHEXAMETHYLENE DIISOCYANATE",,"immunotoxicity,respiratory"
1694-09-3,BENZYL VIOLET 4B,cancer,
1698-60-8,CHLORIDAZON,,"cardiovascular blood,gastrointestinal liver,immunotoxicity,skin sense"
16984-48-8,FLUORIDE,,"gastrointestinal liver,kidney,musculoskeletal,neurotoxicity,respiratory"
17010-21-8,CADMIUM HEXAFLUOROSILICATE,cancer,
17086-28-1,DOXYCYCLINE MONOHYDRATE (INTERNAL USE),developmental,
1717-00-6,"1,1-DICHLORO-1-FLUOROETHANE",,"cardiovascular blood,neurotoxicity"
17230-88-5,DANAZOL,developmental,"gastrointestinal liver,skin sense"
17239-90-6,AT-217,cancer,
1738-25-6,3-(DIMETHYLAMINO)-PROPANENITRILE,,neurotoxicity
17428-41-0,ARSENIC V,"cancer,developmental",
1746-01-6,"2,3,7,8-TETRACHLORODIBENZO-P-DIOXIN (TCDD)","cancer,developmental","cardiovascular blood,endocrine,gastrointestinal liver,immunotoxicity,kidney,neurotoxicity,reproductive,respiratory,skin sense"
1746-81-2,Monolinuron,,cardiovascular blood
17466-45-4,PHALLOIDIN,,gastrointestinal liver
17606-31-4,"Benzenesulfonothioic acid, S,S'-[2-(dimethylamino))-1,3-propanediyl] ester",,"cardiovascular blood,gastrointestinal liver,kidney"
1762-95-4,AMMONIUM THIOCYANATE,,"gastrointestinal liver,neurotoxicity"
17637-99-9,PD-107,cancer,
17702-41-9,DECABORANE(14),,"neurotoxicity,respiratory"
17754-90-4,"BENZALDEHYDE, 4-(DIETHYLAMINO)-2-HYDROXY-",,neurotoxicity
1779-48-2,BENZENEPHOSPHINIC ACID,,skin sense
17796-82-6,"1H-ISOINDOLE-1,3(2H)-DIONE, 2-(CYCLOHEXYLTHIO)-",,neurotoxicity
17804-35-2,BENOMYL,"developmental,reproductive","cancer,cardiovascular blood,endocrine,gastrointestinal liver,immunotoxicity,neurotoxicity,skin sense"
17924-92-4,ZEARALENONE,,"developmental,musculoskeletal,reproductive"
17976-43-1,CYCLO-DI-:-OXO(:-PHTHALATO)TRILEAD,"cancer,developmental,reproductive",
1806-26-4,1-(P-HYDROXYPHENYL)OCTANE,,endocrine
1825-21-4,PENTACHLOROANISOLE,,"cancer,endocrine,gastrointestinal liver,kidney"
18259-05-7,"2,3,4,5,6-PENTACHLOROBIPHENYL (PCB-116)","cancer,developmental",
18287-75-7,I-122,cancer,
1836-75-5,NITROFEN,cancer,"cardiovascular blood,developmental,endocrine,gastrointestinal liver,neurotoxicity,reproductive,respiratory"
18378-89-7,PLICAMYCIN,developmental,cardiovascular blood
18454-12-1,LEAD CHROMATE OXIDE,"cancer,developmental,reproductive",
18496-04-3,NB-97,cancer,
18496-04-3(m),NB-97M,cancer,
18540-29-9,CHROMIUM (VI) COMPOUNDS,cancer,respiratory
18559-94-9,ALBUTEROL,,"cardiovascular blood,developmental,gastrointestinal liver,neurotoxicity"
1861-32-1,DIMETHYL TETRACHLOROTEREPHTHALATE,,cancer
1861-40-1,BENFLURALIN,,cardiovascular blood
1863-63-4,ammonium benzoate,,neurotoxicity
18662-53-8,"NITRILOTRIACETIC ACID, TRISODIUM SALT MONOHYDRATE",cancer,kidney
1879-09-0,"Phenol, 2-(1,1-dimethylethyl)-4,6-dimethyl-",,"neurotoxicity,respiratory"
1888-71-7,"1,1,2,3,3,3-HEXACHLORO-1-PROPENE",,"neurotoxicity,respiratory"
18883-66-4,STREPTOZOTOCIN,"cancer,developmental,reproductive","kidney,skin sense"
189-55-9,"DIBENZO[A,I]PYRENE",cancer,
189-64-0,"DIBENZO[A,H]PYRENE",cancer,
1897-45-6,CHLOROTHALONIL,cancer,"immunotoxicity,neurotoxicity,respiratory,skin sense"
19044-88-3,ORYZALIN,,"cancer,cardiovascular blood,endocrine,gastrointestinal liver"
19089-85-1,4-Hydroxybenzenediazonium and its salts,,cancer
191-30-0,"DIBENZO[A,L]PYRENE",cancer,
1910-42-5,PARAQUAT,,"cancer,cardiovascular blood,gastrointestinal liver,kidney,neurotoxicity,reproductive,respiratory,skin sense"
1912-24-9,ATRAZINE,,"cancer,endocrine,gastrointestinal liver,immunotoxicity,neurotoxicity,reproductive,skin sense"
1918-00-9,DICAMBA,,"developmental,reproductive"
1918-02-1,PICLORAM,,"endocrine,gastrointestinal liver"
1918-16-7,PROPACHLOR,cancer,"developmental,immunotoxicity,neurotoxicity,respiratory,skin sense"
192-65-4,"DIBENZO[A,E]PYRENE",cancer,
1928-43-4,"2,4-D 2-ETHYLHEXYL ESTER",,"developmental,gastrointestinal liver,kidney,neurotoxicity"
19287-45-7,DIBORANE,,"cardiovascular blood,neurotoxicity,respiratory,skin sense"
1929-73-3,"2,4-D BUTOXYETHYL ESTER",,"gastrointestinal liver,kidney,neurotoxicity"
1929-82-4,NITRAPYRIN,developmental,"cancer,gastrointestinal liver,kidney"
193-39-5,"INDENO(1,2,3-CD)PYRENE",cancer,
1934-21-0,1-(4-SULFOPHENYL)-4-((4-SULFOPHENYL)AZO)-1H-PYRAZOLE-3-CARBOXYLIC,,"musculoskeletal,neurotoxicity"
1937-37-7,DIRECT BLACK 38,cancer,kidney
194-59-2,"7H-DIBENZO[C,G]CARBAZOLE",cancer,
19408-74-3,"1,2,3,7,8,9-HEXACHLORODIBENZO-P-DIOXIN",cancer,"endocrine,skin sense"
19485-03-1,1-METHYLTRIMETHYLENE DIACRYLATE,,"immunotoxicity,skin sense"
1951-25-3,AMIODARONE,,"cardiovascular blood,endocrine,gastrointestinal liver,neurotoxicity,respiratory,skin sense"
1955-45-9,pivalolactone,,cancer
19624-22-7,PENTABORANE,,neurotoxicity
19666-30-9,OXYDIAZON,"cancer,developmental","gastrointestinal liver,kidney"
19774-82-4,AMIODARONE HYDROCHLORIDE,"developmental,reproductive","cardiovascular blood,endocrine,respiratory,skin sense"
1982-67-8,METHIONINE SULFOXIMINE,,skin sense
1982-69-0,SODIUM DICAMBA,,developmental
1983-10-4,TRIBUTYLTIN FLUORIDE,,endocrine
19937-59-8,"Urea, N,N-dimethyl-N'-(3-chloro-4-methoxyphenyl)-",,"cardiovascular blood,endocrine"
2001-95-8,VALINOMYCIN,,neurotoxicity
2008-41-5,BUTYLATE,,neurotoxicity
20265-96-7,P-CHLOROANILINE.HCL,cancer,"cardiovascular blood,endocrine"
2032-65-7,MERCAPTODIMETHUR,,neurotoxicity
20325-40-0,"3,3'-DIMETHOXYBENZIDINE DIHYDROCHLORIDE",cancer,"gastrointestinal liver,skin sense"
20354-26-1,METHAZOLE,developmental,
205-82-3,BENZO[J]FLUORANTHENE,cancer,
205-99-2,BENZO(B)FLUORANTHENE,cancer,
2050-67-1,"3,3'-DICHLOROBIPHENYL (PCB-11)","cancer,developmental",
2050-68-2,"4,4'-DICHLOROBIPHENYL (PCB-15)","cancer,developmental",
2051-24-3,"2,2',3,3',4,4',5,5',6,6'-DECACHLOROBIPHENYL (PCB-209)","cancer,developmental",
2051-60-7,2-CHLOROBIPHENYL (PCB-1),"cancer,developmental",
2051-61-8,3-CHLOROBIPHENYL (PCB-2),"cancer,developmental",
2051-62-9,4-CHLOROBIPHENYL (PCB-3),"cancer,developmental",
2051-79-8,CD-2,,"immunotoxicity,skin sense"
2058-46-0,OXYTETRACYCLINE HYDROCHLORIDE (INTERNAL USE),developmental,
206-44-0,FLUORANTHENE,,gastrointestinal liver
2062-78-4,pimozide,"developmental,reproductive","kidney,neurotoxicity"
2068-78-2,VINCRISTINE SULFATE,developmental,
207-08-9,BENZO(K)FLUORANTHENE,cancer,
2079-89-2,BAPN FUMARATE,,developmental
208-96-8,ACENAPHTHYLENE,,respiratory
20816-12-0,OSMIUM OXIDE OSO4 (T-4),,"respiratory,skin sense"
2082-81-7,"1,4-Butanediol dimethacrylate",,"immunotoxicity,skin sense"
20830-75-5,DIGOXIN,,"cardiovascular blood,gastrointestinal liver,neurotoxicity,skin sense"
20830-81-3,DAUNOMYCIN,cancer,"cardiovascular blood,kidney"
20859-73-8,ALUMINUM PHOSPHIDE,,"cardiovascular blood,gastrointestinal liver,kidney,neurotoxicity,respiratory"
2092-56-0,D & C RED NO. 8,cancer,
2094-99-7,"Benzene, 1-(1-isocyanato-1-methylethyl)-3-(1-methylethyl)-",,gastrointestinal liver
2104-64-5,EPN,,"cardiovascular blood,neurotoxicity"
2104-96-3,"4-BROMO-2,5-DICHLOROPHENYL DIMETHYL PHOSPHOROTHIONATE",,"gastrointestinal liver,neurotoxicity,skin sense"
21087-64-9,METRIBUZIN,,"developmental,endocrine,gastrointestinal liver,kidney"
21259-20-1,T-2 TOXIN,,"cardiovascular blood,endocrine,gastrointestinal liver,neurotoxicity,respiratory,skin sense"
21351-79-1,CESIUM HYDROXIDE,,"neurotoxicity,skin sense"
2136-99-4,"2,2',3,3',5,5',6,6'-OCTACHLOROBIPHENYL (PCB-202)","cancer,developmental",
21416-87-5,ICRF-159,,"cancer,cardiovascular blood,gastrointestinal liver"
21436-97-5,"2,4,5-TRIMETHYLANILINE.HCL",,"cancer,gastrointestinal liver"
2155-70-6,TRIBUTYLTIN METHACRYLATE,developmental,"endocrine,neurotoxicity"
21564-17-0,TCMTB,,cancer
21609-90-5,LEPTOPHOS,,neurotoxicity
21626-89-1,Diftalone,,cancer
2163-80-6,MSMA,,"gastrointestinal liver,kidney"
2164-07-0,DIPOTASSIUM ENDOTHALL,,gastrointestinal liver
2164-17-2,FLUOMETURON,,"cancer,cardiovascular blood"
21645-51-2,ALUMINUM HYDRATE WASTES UNDER CLASS 6.1 - TDGR,,"gastrointestinal liver,musculoskeletal,neurotoxicity"
21725-46-2,CYANAZINE,developmental,"cancer,cardiovascular blood,neurotoxicity,respiratory"
21739-91-3,CYTEMBENA,cancer,
2179-59-1,ALLYL PROPYL DISULFIDE,,"immunotoxicity,skin sense"
21794-01-4,RUBRATOXIN B,,kidney
218-01-9,CHRYSENE,cancer,
21829-25-4,Nifedipine,"developmental,reproductive","cardiovascular blood,endocrine,gastrointestinal liver,neurotoxicity,respiratory,skin sense"
2186-24-5,"1,2-EPOXI-3-(P-TOLYLOXI)-PROPAN",,immunotoxicity
21908-53-2,MERCURIC OXIDE,developmental,
2191-10-8,"Octanoic acid, cadmium salt",,"gastrointestinal liver,neurotoxicity"
2212-67-1,MOLINATE,,"cancer,cardiovascular blood,developmental,endocrine,gastrointestinal liver,neurotoxicity,reproductive"
22224-92-6,FENAMIPHOS,,neurotoxicity
2223-82-7,NEOPENTYL GLYCOL DIACRYLATE,,"immunotoxicity,skin sense"
2223-93-0,CADMIUM STEARATE,cancer,"cardiovascular blood,gastrointestinal liver,kidney,neurotoxicity"
22248-79-9,STIROFOS,,"cancer,gastrointestinal liver,neurotoxicity,respiratory"
2227-13-6,TETRASUL,,"endocrine,gastrointestinal liver,neurotoxicity"
2234-13-1,OCTACHLORONAPHTHALENE,,"gastrointestinal liver,reproductive,skin sense"
2235-25-8,ETHYLMERCURIC PHOSPHATE,developmental,neurotoxicity
2238-07-5,"BIS(2,3-EPOXYPROPYL)ETHER",,"immunotoxicity,neurotoxicity,skin sense"
22398-80-7,INDIUM PHOSPHIDE,cancer,
224-42-0,"DIBENZ[A,J]ACRIDINE",cancer,
2243-62-1,"1,5-NAPHTHALENEDIAMINE",,"cancer,endocrine"
2244-21-5,POTASSIUM DICHLORO ISOCYANURATE,,"gastrointestinal liver,neurotoxicity"
22481-48-7,RADON-220,cancer,
22494-42-4,Diflunisal,"developmental,reproductive","cardiovascular blood,gastrointestinal liver,neurotoxicity,respiratory"
22506-53-2,"3,9-DINITROFLUORANTHENE",cancer,
22569-72-8,ARSENIC (TRIVALENT),"cancer,developmental",
22591-21-5,"1,1-DICHLORO-3,3-DIMETHYL-2-BUTANONE",,neurotoxicity
226-36-8,"DIBENZ[A,H]ACRIDINE",cancer,
22781-23-3,BENDIOCARB,,neurotoxicity
2279-76-7,Tri-n-propyltin (TPrT),,endocrine
22966-79-6,ESTRADIOL MUSTARD,,cancer
22967-92-6,METHYL MERCURY,"cancer,developmental","immunotoxicity,kidney,neurotoxicity"
2300-66-5,DIMETHYLAMINE DICAMBA,,developmental
2303-16-4,DIALLATE,,"cancer,cardiovascular blood,gastrointestinal liver,reproductive"
2303-17-5,TRIALLATE,,"cancer,neurotoxicity"
23092-17-3,HALAZEPAM,developmental,
